Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2019","2019","An","1332751","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2020","2020","An","1340798","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2021","2021","An","1335648","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2022","2022","An","1338703","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2023","2023","An","1341778","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02132","Asses","2024","2024","An","1344853","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2019","2019","ha","461179","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2019","2019","kg/ha","10649.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2019","2019","t","4911305.22","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2020","2020","ha","476070","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2020","2020","kg/ha","11729","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2020","2020","t","5583830","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2021","2021","ha","525177","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2021","2021","kg/ha","14068.8","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2021","2021","t","7388610","A","Official value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2022","2022","ha","560943","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2022","2022","kg/ha","12898.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2022","2022","t","7235554.73","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2023","2023","ha","456037","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2023","2023","kg/ha","13949.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2023","2023","t","6361501.16","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01312","Bananas","2024","2024","ha","468358","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2024","2024","kg/ha","14747.6","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2024","2024","t","6907142.4","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","1800000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","1880000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","1799800","X","Value from external organization","Unofficial figure"
