date,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,humidity_pct,solar_radiation,wind_speed_ms,state,latitude,longitude
2015-01-01,0.0,25.92,21.27,30.42,79.26,18.63,1.31,Abia,5.532,7.486
2015-01-02,0.0,25.21,21.6,29.8,66.89,21.37,1.49,Abia,5.532,7.486
2015-01-03,0.0,22.45,18.26,27.82,62.88,18.77,2.41,Abia,5.532,7.486
2015-01-04,0.0,21.29,16.85,27.45,63.42,18.57,2.56,Abia,5.532,7.486
2015-01-05,0.0,20.27,15.2,26.37,64.45,18.33,2.3,Abia,5.532,7.486
2015-01-06,0.0,20.19,15.3,26.63,65.51,17.11,2.16,Abia,5.532,7.486
2015-01-07,0.0,21.39,16.58,28.03,66.54,17.97,2.14,Abia,5.532,7.486
2015-01-08,0.0,22.74,17.14,28.06,64.22,18.1,1.49,Abia,5.532,7.486
2015-01-09,0.0,20.89,15.69,28.02,63.51,19.38,2.87,Abia,5.532,7.486
2015-01-10,0.0,19.89,13.38,27.94,60.05,19.63,2.68,Abia,5.532,7.486
2015-01-11,0.0,19.61,13.34,27.16,58.48,19.04,2.62,Abia,5.532,7.486
2015-01-12,0.0,19.53,13.34,27.48,58.0,20.01,2.96,Abia,5.532,7.486
2015-01-13,0.0,20.55,13.13,27.83,57.39,19.75,2.37,Abia,5.532,7.486
2015-01-14,0.0,22.11,15.43,29.39,58.01,19.58,2.12,Abia,5.532,7.486
2015-01-15,0.0,22.62,15.39,29.1,61.73,20.68,2.0,Abia,5.532,7.486
2015-01-16,0.0,24.25,18.08,29.61,57.0,19.97,1.62,Abia,5.532,7.486
2015-01-17,0.0,23.71,16.38,29.39,54.91,20.63,1.35,Abia,5.532,7.486
2015-01-18,0.02,24.4,18.34,30.93,62.39,19.62,0.95,Abia,5.532,7.486
2015-01-19,0.12,25.71,19.75,31.54,78.91,19.32,1.07,Abia,5.532,7.486
2015-01-20,0.28,26.25,21.22,31.49,80.53,19.75,0.97,Abia,5.532,7.486
