state,year,crop,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,humidity_pct,solar_radiation,nitrogen_n,phosphorus_p,potassium_k,soil_ph,fertilizer_kg_ha,pesticide_kg_ha,area_harvested_ha,yield_kg_ha,source
Abia,2019,"Cassava, fresh",2019.69,25.82,22.82,29.42,86.11,16.27,52.3,30.6,23.3,5.99,44.6,7.63,335690.15,7160.39,Nigeria_Synthesized_FAO_NASA
Adamawa,2019,"Cassava, fresh",960.01,27.76,22.27,33.74,56.41,20.28,45.2,32.8,26.7,6.02,54.5,3.19,297221.67,4629.14,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2019,"Cassava, fresh",2231.91,26.29,23.81,29.49,86.47,16.27,49.3,28.7,25.6,5.98,63.4,4.38,268158.68,7181.67,Nigeria_Synthesized_FAO_NASA
Anambra,2019,"Cassava, fresh",2330.26,25.85,22.81,29.34,85.38,17.04,47.0,30.1,25.5,5.92,88.6,3.11,309445.66,7262.48,Nigeria_Synthesized_FAO_NASA
Bauchi,2019,"Cassava, fresh",867.4,26.58,20.84,33.37,51.51,20.5,54.7,31.9,24.0,5.95,94.7,4.86,335400.22,3869.52,Nigeria_Synthesized_FAO_NASA
Bayelsa,2019,"Cassava, fresh",3319.11,26.16,23.71,29.38,87.88,15.0,45.3,32.5,23.8,6.3,64.9,5.38,263469.13,6937.77,Nigeria_Synthesized_FAO_NASA
Benue,2019,"Cassava, fresh",1023.91,26.98,22.72,32.08,71.9,18.06,54.7,31.7,27.2,6.44,87.8,7.99,214270.52,5006.18,Nigeria_Synthesized_FAO_NASA
Borno,2019,"Cassava, fresh",545.89,28.54,22.01,35.97,40.71,21.14,45.5,29.0,24.4,6.06,106.3,4.32,216034.82,3634.36,Nigeria_Synthesized_FAO_NASA
Cross River,2019,"Cassava, fresh",2231.91,26.29,23.81,29.49,86.47,15.4,46.4,31.8,22.9,6.5,101.8,3.29,271002.83,7154.02,Nigeria_Synthesized_FAO_NASA
Delta,2019,"Cassava, fresh",2330.26,25.85,22.81,29.34,85.38,16.34,52.1,31.4,26.4,5.94,68.7,2.75,314247.12,6735.24,Nigeria_Synthesized_FAO_NASA
Ebonyi,2019,"Cassava, fresh",1142.89,26.36,22.7,30.77,79.82,17.53,48.3,27.4,24.1,6.09,98.4,6.14,283781.5,5759.46,Nigeria_Synthesized_FAO_NASA
Edo,2019,"Cassava, fresh",2626.04,25.64,22.8,29.18,88.29,15.76,46.2,31.3,26.3,6.24,101.7,5.21,259828.73,7716.33,Nigeria_Synthesized_FAO_NASA
